,shots,shots_ontarget,shots_conceded,shots_conceded_ontarget,corners,corners_conceded,points
0,607,251,257,83,228,86,88
1,373,466,136,175,130,182,41
2,444,540,150,186,128,190,38
3,331,421,128,145,143,153,50
4,346,509,116,159,117,204,38
5,380,507,126,211,151,207,25
6,529,269,212,110,191,110,78
7,454,455,191,158,146,137,55
8,485,362,185,143,217,140,60
9,379,533,134,202,137,207,37
10,383,467,150,165,145,175,50
11,422,366,128,125,143,138,40
12,453,439,151,173,148,183,38
13,487,491,163,166,170,179,52
14,498,465,188,208,224,142,33
15,416,487,164,167,162,190,43
16,489,386,194,152,168,144,45
17,368,430,136,181,161,142,36
18,331,421,128,145,143,153,50
19,453,439,151,173,148,183,38
20,583,257,238,95,222,92,79
21,522,418,205,144,184,153,69
22,567,288,190,112,206,110,46
23,554,299,192,128,202,140,61
24,426,430,171,195,157,168,43
25,385,515,158,200,154,170,34
26,362,463,126,161,142,198,40
27,364,494,114,189,124,180,35
28,384,458,145,161,181,170,37
29,418,537,153,174,140,168,48
30,297,425,107,156,131,164,35
31,415,499,170,163,152,212,43
32,501,453,171,157,165,163,44
33,458,458,150,170,149,168,49
34,424,522,174,151,157,184,66
35,411,472,138,179,185,156,36
36,454,492,140,177,176,203,31
37,437,482,145,175,148,176,40
38,458,458,150,170,149,168,49
39,567,288,190,112,206,110,46
40,630,302,258,108,242,114,90
41,430,532,169,182,153,184,55
42,512,417,159,143,197,156,52
43,614,331,242,115,199,121,71
44,412,544,119,198,145,198,25
45,367,565,132,196,164,237,39
46,469,466,164,184,171,159,42
47,523,385,200,154,167,134,60
48,383,371,150,137,167,145,41
49,431,476,154,187,203,145,36
50,496,435,196,189,144,165,44
51,389,596,142,223,155,204,26
52,494,452,185,147,201,171,61
53,370,539,130,208,135,190,36
54,441,505,163,185,135,210,53
55,401,460,139,172,152,181,32
56,474,450,182,155,152,182,64
57,500,510,205,206,180,166,27
58,431,476,154,187,203,145,36
59,630,302,258,108,242,114,90
60,543,326,223,125,185,128,66
61,487,393,172,162,209,141,34
62,466,408,150,145,177,141,33
63,315,472,104,181,117,165,30
64,426,429,132,171,169,203,51
65,556,406,218,123,199,162,65
66,442,405,162,148,181,153,51
67,362,407,115,149,137,181,42
68,360,465,118,197,138,182,21
69,578,277,254,95,257,111,91
70,435,515,163,186,147,196,48
71,365,453,134,165,167,176,44
72,353,519,125,170,136,221,47
73,409,443,155,160,123,137,31
74,354,508,137,212,143,195,45
75,495,376,198,126,180,127,55
76,379,488,148,179,147,192,43
77,383,418,147,161,171,172,43
78,362,407,115,149,137,181,42
79,360,465,118,197,138,182,21
80,550,321,213,112,171,143,81
81,438,489,160,194,175,166,36
82,387,468,137,185,136,138,38
83,405,446,145,170,134,167,40
84,299,520,108,193,127,197,30
85,412,403,164,168,201,166,44
86,408,466,135,183,163,165,48
87,452,416,146,163,157,158,41
88,371,496,129,181,146,154,31
89,418,364,139,129,167,140,42
90,468,503,196,167,178,179,53
91,461,444,186,147,170,162,64
92,504,466,159,182,171,176,42
93,415,474,139,172,146,152,23
94,530,281,212,87,215,111,73
95,439,388,168,132,131,168,60
96,421,405,148,153,163,189,39
97,432,460,183,149,130,150,54
98,405,446,145,170,134,167,40
99,421,405,148,153,163,189,39
