,shots,shots_ontarget,shots_conceded,shots_conceded_ontarget,corners,corners_conceded,points
0,458.0,579.0,138.0,161.0,165.0,243.0,43
1,603.0,399.0,202.0,101.0,221.0,161.0,87
2,523.0,392.0,176.0,118.0,224.0,165.0,70
3,617.0,462.0,201.0,154.0,247.0,176.0,64
4,463.0,567.0,132.0,207.0,193.0,228.0,37
5,458.0,614.0,156.0,203.0,175.0,253.0,46
6,357.0,584.0,115.0,197.0,132.0,235.0,24
7,414.0,528.0,111.0,198.0,152.0,196.0,26
8,488.0,497.0,177.0,186.0,232.0,217.0,59
9,622.0,382.0,233.0,128.0,251.0,146.0,63
10,449.0,554.0,148.0,161.0,196.0,217.0,52
11,543.0,365.0,216.0,128.0,208.0,125.0,69
12,479.0,492.0,152.0,174.0,196.0,189.0,49
13,499.0,519.0,156.0,160.0,212.0,215.0,56
14,447.0,506.0,152.0,177.0,164.0,226.0,49
15,496.0,498.0,179.0,186.0,201.0,206.0,34
16,542.0,522.0,170.0,148.0,180.0,194.0,54
17,618.0,456.0,184.0,146.0,234.0,191.0,55
18,423.0,580.0,121.0,191.0,180.0,218.0,41
19,512.0,515.0,167.0,162.0,225.0,187.0,42
20,521.0,505.0,175.0,186.0,173.0,205.0,45
21,602.0,379.0,222.0,120.0,220.0,146.0,102
22,459.0,671.0,163.0,234.0,187.0,222.0,54
23,620.0,461.0,204.0,147.0,223.0,188.0,57
24,468.0,501.0,132.0,164.0,171.0,208.0,39
25,447.0,613.0,154.0,191.0,190.0,221.0,50
26,546.0,436.0,185.0,161.0,230.0,192.0,60
27,375.0,604.0,135.0,187.0,180.0,216.0,44
28,539.0,463.0,182.0,153.0,193.0,183.0,56
29,482.0,544.0,159.0,159.0,201.0,225.0,44
30,483.0,555.0,142.0,203.0,180.0,229.0,25
31,592.0,412.0,216.0,117.0,213.0,169.0,85
32,577.0,455.0,226.0,166.0,185.0,145.0,78
33,496.0,476.0,158.0,163.0,173.0,200.0,29
34,494.0,467.0,160.0,152.0,195.0,183.0,58
35,413.0,506.0,135.0,158.0,190.0,202.0,36
36,503.0,533.0,173.0,165.0,222.0,198.0,57
37,492.0,513.0,163.0,197.0,199.0,186.0,34
38,574.0,472.0,172.0,169.0,212.0,185.0,65
39,484.0,601.0,146.0,210.0,179.0,213.0,32
40,613.0,397.0,207.0,131.0,226.0,145.0,70
