,shots,shots_ontarget,shots_conceded,shots_conceded_ontarget,corners,corners_conceded,points
0,511.0,418.0,147.0,153.0,243.0,168.0,54
1,387.0,469.0,114.0,156.0,184.0,232.0,42
2,451.0,519.0,142.0,182.0,209.0,224.0,28
3,585.0,428.0,216.0,148.0,236.0,184.0,80
4,477.0,531.0,148.0,164.0,169.0,195.0,46
5,423.0,591.0,129.0,177.0,156.0,232.0,50
6,573.0,342.0,180.0,114.0,208.0,137.0,64
7,550.0,454.0,173.0,143.0,230.0,172.0,57
8,486.0,770.0,124.0,228.0,170.0,285.0,31
9,471.0,446.0,176.0,146.0,181.0,166.0,45
10,516.0,466.0,167.0,153.0,245.0,200.0,67
11,454.0,471.0,137.0,157.0,190.0,197.0,45
12,599.0,340.0,215.0,95.0,212.0,107.0,91
13,444.0,524.0,145.0,169.0,192.0,189.0,39
14,412.0,603.0,122.0,201.0,164.0,227.0,39
15,468.0,514.0,149.0,171.0,197.0,195.0,46
16,430.0,598.0,152.0,207.0,172.0,271.0,40
17,426.0,507.0,132.0,170.0,178.0,232.0,38
18,486.0,473.0,153.0,142.0,202.0,216.0,61
19,656.0,341.0,243.0,88.0,224.0,133.0,82
20,458.0,579.0,138.0,161.0,165.0,243.0,43
21,603.0,399.0,202.0,101.0,221.0,161.0,87
22,523.0,392.0,176.0,118.0,224.0,165.0,70
23,617.0,462.0,201.0,154.0,247.0,176.0,64
24,463.0,567.0,132.0,207.0,193.0,228.0,37
25,458.0,614.0,156.0,203.0,175.0,253.0,46
26,357.0,584.0,115.0,197.0,132.0,235.0,24
27,414.0,528.0,111.0,198.0,152.0,196.0,26
28,488.0,497.0,177.0,186.0,232.0,217.0,59
29,622.0,382.0,233.0,128.0,251.0,146.0,63
30,449.0,554.0,148.0,161.0,196.0,217.0,52
31,543.0,365.0,216.0,128.0,208.0,125.0,69
32,479.0,492.0,152.0,174.0,196.0,189.0,49
33,499.0,519.0,156.0,160.0,212.0,215.0,56
34,447.0,506.0,152.0,177.0,164.0,226.0,49
35,496.0,498.0,179.0,186.0,201.0,206.0,34
36,542.0,522.0,170.0,148.0,180.0,194.0,54
37,618.0,456.0,184.0,146.0,234.0,191.0,55
38,423.0,580.0,121.0,191.0,180.0,218.0,41
39,512.0,515.0,167.0,162.0,225.0,187.0,42
40,521.0,505.0,175.0,186.0,173.0,205.0,45
41,602.0,379.0,222.0,120.0,220.0,146.0,102
42,459.0,671.0,163.0,234.0,187.0,222.0,54
43,620.0,461.0,204.0,147.0,223.0,188.0,57
44,468.0,501.0,132.0,164.0,171.0,208.0,39
45,447.0,613.0,154.0,191.0,190.0,221.0,50
46,546.0,436.0,185.0,161.0,230.0,192.0,60
47,375.0,604.0,135.0,187.0,180.0,216.0,44
48,539.0,463.0,182.0,153.0,193.0,183.0,56
49,482.0,544.0,159.0,159.0,201.0,225.0,44
50,483.0,555.0,142.0,203.0,180.0,229.0,25
51,592.0,412.0,216.0,117.0,213.0,169.0,85
52,577.0,455.0,226.0,166.0,185.0,145.0,78
53,496.0,476.0,158.0,163.0,173.0,200.0,29
54,494.0,467.0,160.0,152.0,195.0,183.0,58
55,413.0,506.0,135.0,158.0,190.0,202.0,36
56,503.0,533.0,173.0,165.0,222.0,198.0,57
57,492.0,513.0,163.0,197.0,199.0,186.0,34
58,574.0,472.0,172.0,169.0,212.0,185.0,65
59,484.0,601.0,146.0,210.0,179.0,213.0,32
60,613.0,397.0,207.0,131.0,226.0,145.0,70
61,443.0,525.0,158.0,170.0,148.0,180.0,66
62,697.0,374.0,257.0,109.0,251.0,144.0,87
63,535.0,447.0,177.0,175.0,239.0,191.0,49
64,409.0,570.0,129.0,180.0,180.0,213.0,42
65,514.0,453.0,178.0,143.0,204.0,192.0,61
66,376.0,507.0,116.0,163.0,165.0,218.0,45
67,503.0,514.0,150.0,193.0,194.0,202.0,44
68,451.0,507.0,161.0,159.0,173.0,220.0,38
69,461.0,527.0,145.0,158.0,179.0,199.0,47
70,638.0,392.0,232.0,134.0,236.0,159.0,72
71,430.0,517.0,138.0,174.0,181.0,198.0,43
72,511.0,521.0,165.0,198.0,189.0,224.0,32
73,574.0,482.0,222.0,135.0,237.0,208.0,78
74,400.0,672.0,119.0,260.0,146.0,220.0,22
75,551.0,507.0,185.0,177.0,228.0,186.0,54
76,608.0,490.0,214.0,176.0,241.0,215.0,62
77,469.0,544.0,148.0,171.0,164.0,218.0,56
78,351.0,526.0,109.0,196.0,182.0,223.0,36
79,422.0,484.0,145.0,153.0,187.0,195.0,40
80,589.0,452.0,219.0,135.0,250.0,165.0,80
81,500.0,461.0,178.0,164.0,187.0,174.0,62
82,452.0,600.0,128.0,205.0,170.0,262.0,22
83,521.0,448.0,180.0,145.0,218.0,169.0,61
84,548.0,532.0,176.0,179.0,199.0,199.0,48
85,386.0,493.0,135.0,165.0,155.0,218.0,44
86,430.0,499.0,136.0,155.0,145.0,220.0,49
87,467.0,648.0,142.0,204.0,202.0,221.0,32
88,496.0,453.0,151.0,148.0,203.0,199.0,46
89,444.0,522.0,155.0,166.0,162.0,236.0,51
90,440.0,601.0,163.0,204.0,215.0,213.0,42
91,413.0,509.0,142.0,156.0,189.0,204.0,52
92,725.0,349.0,262.0,104.0,272.0,141.0,84
93,515.0,473.0,148.0,162.0,199.0,188.0,56
94,429.0,551.0,137.0,209.0,158.0,237.0,36
95,525.0,520.0,174.0,148.0,176.0,152.0,64
96,498.0,596.0,179.0,191.0,184.0,206.0,43
97,603.0,433.0,191.0,155.0,227.0,188.0,58
98,623.0,510.0,204.0,182.0,229.0,196.0,56
99,475.0,429.0,142.0,165.0,218.0,170.0,43
