,team_name,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Italy,128.0,36.0,59.0,33.0,7.0,87.0,4282.0,3751.0,53.58,31.47,89.0,28.0,113.0,383.0,11.0,31.0,28.0,291.0,99.0,107.0,9.0,4.0,0.0,0.0,3.0,93.0,100.0,12.0,0.0
1,Spain,111.0,43.0,43.0,25.0,6.0,89.34,5239.0,4688.0,66.84,25.95,158.0,41.0,121.0,432.0,13.0,47.0,9.0,267.0,58.0,63.0,9.0,6.0,1.0,0.0,2.0,72.0,100.0,6.0,0.0
2,Denmark,96.0,40.0,30.0,26.0,6.0,82.5,3056.0,2535.0,52.17,23.44,128.0,30.0,79.0,280.0,8.0,39.0,4.0,265.0,79.0,113.0,18.0,7.0,1.0,1.0,1.0,75.0,67.0,5.0,0.0
3,Switzerland,69.0,22.0,31.0,16.0,5.0,84.6,2515.0,2146.0,48.6,28.41,88.0,25.0,68.0,210.0,8.0,36.0,13.0,212.0,84.0,113.0,21.0,9.0,1.0,0.0,0.0,63.0,62.0,11.0,1.0
4,England,64.0,26.0,29.0,9.0,7.0,86.29,3825.0,3324.0,52.0,29.42,102.0,30.0,106.0,296.0,10.0,29.0,14.0,264.0,65.0,145.0,16.0,2.0,0.0,0.0,5.0,71.0,88.0,6.0,0.0
5,Czechia,57.0,19.0,24.0,14.0,5.0,77.41,2131.0,1651.0,47.6,28.89,90.0,26.0,50.0,193.0,4.0,28.0,10.0,221.0,52.0,122.0,14.0,4.0,0.0,0.0,2.0,51.0,37.0,7.0,0.0
6,France,57.0,18.0,30.0,9.0,4.0,89.0,2390.0,2133.0,51.75,15.88,63.0,10.0,51.0,190.0,4.0,15.0,8.0,160.0,50.0,61.0,8.0,6.0,0.0,1.0,1.0,51.0,46.0,8.0,0.0
7,Portugal,53.0,19.0,26.0,8.0,4.0,88.5,2326.0,2055.0,53.5,23.29,73.0,17.0,57.0,193.0,4.0,15.0,6.0,163.0,52.0,46.0,11.0,7.0,2.0,0.0,1.0,38.0,52.0,4.0,0.0
8,Netherlands,53.0,16.0,23.0,14.0,4.0,82.5,2216.0,1849.0,54.75,17.86,56.0,10.0,43.0,167.0,5.0,20.0,9.0,201.0,35.0,51.0,8.0,4.0,0.0,0.0,2.0,40.0,39.0,3.0,1.0
9,Austria,53.0,15.0,24.0,14.0,4.0,81.5,2306.0,1882.0,52.5,34.33,67.0,23.0,55.0,193.0,5.0,21.0,5.0,207.0,65.0,77.0,8.0,5.0,0.0,0.0,1.0,55.0,48.0,6.0,0.0
10,Ukraine,52.0,20.0,19.0,13.0,5.0,86.6,2749.0,2385.0,48.6,29.04,62.0,18.0,51.0,177.0,6.0,15.0,8.0,213.0,67.0,117.0,15.0,10.0,0.0,1.0,0.0,44.0,40.0,4.0,0.0
11,Belgium,48.0,19.0,17.0,12.0,5.0,87.0,2949.0,2575.0,52.6,8.0,50.0,4.0,57.0,187.0,7.0,20.0,6.0,197.0,60.0,86.0,14.0,3.0,0.0,0.0,3.0,63.0,43.0,4.0,0.0
12,Germany,48.0,17.0,20.0,11.0,4.0,89.25,2622.0,2341.0,59.25,24.22,95.0,23.0,41.0,203.0,5.0,17.0,7.0,155.0,69.0,62.0,5.0,7.0,1.0,0.0,0.0,42.0,32.0,7.0,0.0
13,Croatia,42.0,16.0,18.0,8.0,4.0,85.0,2002.0,1717.0,49.5,19.61,51.0,10.0,47.0,143.0,5.0,11.0,13.0,154.0,54.0,88.0,10.0,8.0,0.0,0.0,0.0,53.0,37.0,7.0,0.0
14,Sweden,42.0,11.0,20.0,11.0,4.0,71.0,1522.0,1172.0,38.25,19.3,57.0,11.0,43.0,141.0,3.0,20.0,4.0,154.0,36.0,136.0,12.0,4.0,0.0,0.0,2.0,51.0,32.0,5.0,1.0
15,Scotland,42.0,10.0,12.0,20.0,3.0,79.67,1184.0,941.0,44.0,30.16,63.0,19.0,37.0,104.0,0.0,18.0,2.0,120.0,31.0,54.0,10.0,5.0,0.0,0.0,1.0,28.0,25.0,3.0,0.0
16,Poland,40.0,11.0,19.0,10.0,3.0,75.67,1299.0,1018.0,49.34,21.18,85.0,18.0,44.0,153.0,4.0,16.0,3.0,127.0,49.0,64.0,6.0,6.0,1.0,0.0,0.0,46.0,39.0,8.0,1.0
17,Wales,39.0,11.0,15.0,13.0,4.0,79.25,1299.0,1036.0,41.75,34.0,50.0,17.0,58.0,114.0,3.0,13.0,0.0,136.0,43.0,105.0,18.0,6.0,0.0,0.0,1.0,37.0,49.0,9.0,2.0
18,Türki̇ye,39.0,11.0,15.0,13.0,3.0,83.67,1409.0,1187.0,48.67,41.82,55.0,23.0,34.0,96.0,1.0,20.0,4.0,108.0,41.0,68.0,18.0,8.0,1.0,0.0,0.0,48.0,29.0,7.0,0.0
19,North Macedonia,32.0,8.0,16.0,8.0,3.0,79.67,1212.0,970.0,43.67,22.23,36.0,8.0,40.0,86.0,0.0,10.0,4.0,129.0,38.0,44.0,14.0,8.0,0.0,1.0,0.0,33.0,33.0,8.0,0.0
20,Russia,25.0,6.0,14.0,5.0,3.0,77.0,1264.0,992.0,44.34,28.89,45.0,13.0,37.0,120.0,1.0,9.0,9.0,142.0,44.0,62.0,8.0,7.0,0.0,0.0,1.0,38.0,35.0,5.0,0.0
21,Slovakia,24.0,2.0,12.0,10.0,3.0,84.34,1403.0,1191.0,46.34,43.75,32.0,14.0,39.0,62.0,2.0,8.0,5.0,105.0,41.0,80.0,11.0,7.0,2.0,1.0,0.0,34.0,37.0,6.0,0.0
22,Finland,19.0,3.0,5.0,11.0,3.0,78.34,1146.0,917.0,40.67,38.1,21.0,8.0,37.0,66.0,1.0,1.0,3.0,121.0,43.0,113.0,14.0,3.0,1.0,1.0,1.0,30.0,32.0,4.0,0.0
23,Hungary,18.0,10.0,6.0,2.0,3.0,77.34,926.0,720.0,34.67,18.19,22.0,4.0,42.0,48.0,3.0,2.0,2.0,147.0,62.0,74.0,11.0,6.0,0.0,0.0,0.0,37.0,36.0,6.0,0.0
