,team_name,attempts,attempts_on_target,attempts_off_target,attempts_blocked,matches_appearance,passes_accuracy,passes_attempted,passes_completed,ball_possession,cross_accuracy,cross_attempted,cross_completed,free_kick,attacks,assists,corners,offsides,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,own_goal_conceded,saves_on_penalty,clean_sheet,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,Spain,227.0,83.0,80.0,64.0,10.0,90.8,7888.0,7172.0,70.41,52.88,331.0,175.0,118.0,542.0,26.0,100.0,24.0,340.0,41.0,126.0,18.0,5.0,0.0,0.0,5.0,86.0,111.0,18.0,1.0
1,Belgium,207.0,92.0,78.0,37.0,10.0,89.0,7115.0,6344.0,62.3,52.06,267.0,139.0,111.0,480.0,33.0,87.0,20.0,375.0,25.0,106.0,16.0,3.0,0.0,0.0,7.0,110.0,86.0,6.0,0.0
2,Russia,207.0,76.0,87.0,43.0,10.0,85.4,6108.0,5240.0,60.0,51.78,309.0,160.0,111.0,485.0,23.0,87.0,27.0,392.0,30.0,144.0,14.0,8.0,0.0,0.0,7.0,118.0,89.0,11.0,1.0
3,Italy,205.0,81.0,75.0,49.0,10.0,89.5,6809.0,6099.0,65.3,50.45,226.0,114.0,126.0,408.0,27.0,73.0,25.0,340.0,43.0,114.0,21.0,4.0,0.0,0.0,6.0,104.0,106.0,12.0,0.0
4,Austria,191.0,65.0,77.0,49.0,10.0,84.6,5603.0,4756.0,59.1,50.0,264.0,132.0,154.0,359.0,15.0,68.0,27.0,404.0,45.0,169.0,22.0,9.0,1.0,0.0,4.0,150.0,120.0,19.0,0.0
5,Portugal,181.0,69.0,63.0,49.0,8.0,88.13,5265.0,4656.0,61.0,42.86,245.0,105.0,96.0,332.0,13.0,71.0,15.0,337.0,16.0,78.0,14.0,6.0,0.0,0.0,4.0,81.0,89.0,6.0,0.0
6,Switzerland,176.0,57.0,71.0,48.0,8.0,86.38,4585.0,3974.0,61.38,46.97,247.0,116.0,120.0,406.0,15.0,68.0,20.0,269.0,27.0,117.0,15.0,6.0,0.0,0.0,4.0,89.0,95.0,14.0,0.0
7,France,169.0,67.0,78.0,24.0,10.0,89.5,7368.0,6616.0,67.91,49.43,261.0,129.0,115.0,504.0,21.0,69.0,33.0,339.0,32.0,99.0,10.0,6.0,0.0,0.0,5.0,112.0,93.0,14.0,0.0
8,Scotland,167.0,54.0,59.0,54.0,12.0,81.67,6065.0,4992.0,51.34,43.71,286.0,125.0,161.0,479.0,11.0,72.0,9.0,478.0,44.0,295.0,36.0,20.0,1.0,0.0,3.0,136.0,136.0,20.0,0.0
9,Germany,159.0,68.0,57.0,34.0,8.0,90.13,6236.0,5656.0,62.13,53.48,144.0,77.0,78.0,342.0,26.0,54.0,23.0,277.0,22.0,120.0,20.0,7.0,1.0,1.0,5.0,69.0,67.0,3.0,1.0
10,Sweden,147.0,63.0,46.0,38.0,10.0,83.3,4786.0,4061.0,51.1,47.2,214.0,101.0,143.0,338.0,18.0,57.0,18.0,343.0,23.0,235.0,25.0,9.0,0.0,0.0,5.0,130.0,122.0,16.0,0.0
11,Croatia,142.0,47.0,56.0,39.0,8.0,89.0,4828.0,4307.0,61.38,46.81,188.0,88.0,105.0,368.0,12.0,59.0,14.0,292.0,35.0,115.0,25.0,7.0,0.0,0.0,2.0,97.0,79.0,17.0,0.0
12,Netherlands,141.0,59.0,49.0,33.0,8.0,88.75,5406.0,4801.0,65.38,50.26,193.0,97.0,88.0,342.0,21.0,40.0,18.0,298.0,33.0,87.0,11.0,7.0,0.0,0.0,4.0,87.0,75.0,9.0,0.0
13,North Macedonia,141.0,51.0,48.0,42.0,12.0,78.34,4453.0,3505.0,45.42,46.43,168.0,78.0,220.0,294.0,11.0,51.0,26.0,448.0,55.0,244.0,41.0,14.0,2.0,0.0,3.0,148.0,194.0,36.0,1.0
14,Denmark,139.0,50.0,58.0,31.0,8.0,85.25,4541.0,3895.0,56.75,46.02,163.0,75.0,107.0,297.0,15.0,51.0,12.0,291.0,19.0,149.0,14.0,6.0,0.0,0.0,4.0,83.0,87.0,7.0,0.0
15,Poland,139.0,49.0,55.0,35.0,10.0,83.2,4754.0,3981.0,52.8,45.62,228.0,104.0,151.0,358.0,12.0,59.0,19.0,315.0,50.0,225.0,27.0,5.0,0.0,0.0,7.0,150.0,121.0,18.0,0.0
16,Türki̇ye,135.0,51.0,58.0,26.0,10.0,84.9,5425.0,4662.0,59.0,50.78,193.0,98.0,181.0,346.0,13.0,42.0,24.0,324.0,45.0,172.0,23.0,3.0,0.0,0.0,8.0,133.0,155.0,23.0,0.0
17,Hungary,132.0,50.0,40.0,42.0,10.0,82.7,4527.0,3767.0,49.3,43.68,174.0,76.0,172.0,325.0,7.0,55.0,19.0,320.0,67.0,231.0,30.0,13.0,0.0,1.0,2.0,150.0,138.0,27.0,2.0
18,Czechia,131.0,42.0,62.0,27.0,8.0,81.0,3458.0,2805.0,51.63,49.76,201.0,100.0,105.0,303.0,10.0,57.0,11.0,301.0,50.0,167.0,20.0,11.0,1.0,0.0,2.0,130.0,80.0,16.0,0.0
19,Slovakia,125.0,52.0,47.0,26.0,10.0,86.6,5726.0,4985.0,52.6,49.36,154.0,76.0,143.0,332.0,9.0,35.0,30.0,348.0,27.0,223.0,44.0,12.0,1.0,0.0,3.0,125.0,124.0,24.0,2.0
20,Finland,115.0,46.0,42.0,27.0,10.0,85.9,5352.0,4637.0,51.2,47.98,148.0,71.0,124.0,340.0,7.0,44.0,12.0,369.0,52.0,217.0,29.0,10.0,0.0,0.0,6.0,123.0,109.0,15.0,0.0
21,England,110.0,64.0,21.0,25.0,8.0,89.0,5478.0,4896.0,62.0,45.95,148.0,68.0,75.0,316.0,27.0,34.0,13.0,264.0,20.0,99.0,20.0,6.0,0.0,0.0,5.0,82.0,71.0,9.0,0.0
22,Ukraine,110.0,42.0,42.0,26.0,8.0,87.88,4175.0,3686.0,54.13,46.98,149.0,70.0,118.0,242.0,13.0,34.0,9.0,251.0,31.0,166.0,32.0,4.0,0.0,0.0,5.0,96.0,98.0,15.0,1.0
23,Wales,103.0,41.0,35.0,27.0,8.0,83.5,3135.0,2644.0,46.13,52.31,130.0,68.0,137.0,229.0,6.0,28.0,16.0,263.0,29.0,151.0,19.0,6.0,1.0,0.0,3.0,102.0,114.0,21.0,0.0
